,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
258,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
259,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31,1991,10,8,666,7.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
260,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,Raoul Bellanova,it ITA,DF,Torino,it Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2.0,2.0,5.0,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
262,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,1.6,1.6,1.0,2.5,30,39,49,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24
263,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25,1998,3,3,269,3.0,2,2,4,2,0,0,2,0,0.6,0.6,1.5,2.1,9,11,10,0.67,0.67,1.34,0.67,1.34,0.19,0.51,0.69,0.19,0.69
264,Héctor Bellerín,es ESP,DF,Betis,es La Liga,28,1995,23,20,1711,19.0,0,1,1,0,0,0,0,1,0.2,0.2,1.6,1.7,32,81,80,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.09,0.01,0.09
265,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.70,0.93,0.43,0.21,0.64,0.40,0.61
266,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,16,60,37,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.06,0.03,0.06
267,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,29,1993,15,11,949,10.5,3,0,3,3,0,0,0,0,3.7,3.7,0.7,4.4,10,15,60,0.28,0.00,0.28,0.28,0.28,0.35,0.07,0.41,0.35,0.41
268,Andrea Belotti,it ITA,FW,Roma,it Serie A,29,1993,14,6,679,7.5,3,2,5,3,0,0,1,0,2.4,2.4,1.2,3.6,15,8,49,0.40,0.27,0.66,0.40,0.66,0.32,0.16,0.48,0.32,0.48
269,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24,1999,33,28,2428,27.0,0,0,0,0,0,0,2,0,0.7,0.7,1.1,1.8,28,134,30,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
270,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,22,2001,32,21,1692,18.8,6,2,8,5,1,1,6,0,3.8,3.0,1.5,4.5,12,49,113,0.32,0.11,0.43,0.27,0.37,0.20,0.08,0.28,0.16,0.24
