,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
399,Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22,8,40,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13
400,Manu Bueno,es ESP,MF,Sevilla,es La Liga,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
401,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
402,Marius Bülter,de GER,"DF,FW",Hoffenheim,de Bundesliga,30,1993,30,15,1351,15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37,60,107,0.07,0.27,0.33,0.07,0.33,0.10,0.23,0.32,0.10,0.32
403,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,eng Premier League,18,2004,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28
404,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.00,0.11,0.11,0.11,0.06,0.00,0.06,0.06,0.06
405,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23,2000,21,18,1538,17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36,28,101,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43
406,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,26,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.15,0.07,0.15
408,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31,1992,33,32,2726,30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14,75,25,0.07,0.07,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14
409,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,19,2004,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,11.25,11.25,0.00,11.25,0.00,0.71,0.71,0.00,0.71
410,Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,28,1994,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
412,Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,23,1999,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,3,12,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
413,Pablo Busto,es ESP,DF,Betis,es La Liga,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.44,0.03,0.44
414,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26,1997,30,20,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51,90,104,0.05,0.05,0.10,0.05,0.10,0.02,0.04,0.06,0.02,0.06
415,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,1999,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,33,1990,30,14,1477,16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72,106,160,0.12,0.12,0.24,0.12,0.24,0.32,0.20,0.52,0.32,0.52
417,Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25,1998,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22,40,39,0.13,0.00,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
418,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22,2000,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34,84,55,0.00,0.05,0.05,0.00,0.05,0.02,0.08,0.10,0.02,0.10
419,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26,1997,31,29,2486,27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43,144,75,0.07,0.11,0.18,0.07,0.18,0.06,0.10,0.16,0.06,0.16
420,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09
421,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.30,0.06,0.30,0.07,0.14,0.20,0.07,0.20
422,Jens Cajuste,se SWE,MF,Napoli,it Serie A,23,1999,26,11,1016,11.3,0,2,2,0,0,0,7,0,1.5,1.5,1.1,2.5,19,37,53,0.00,0.18,0.18,0.00,0.18,0.13,0.09,0.22,0.13,0.22
423,Davide Calabria,it ITA,DF,Milan,it Serie A,26,1996,29,26,2185,24.3,1,3,4,1,0,0,5,2,1.3,1.3,1.2,2.5,31,140,66,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.10,0.05,0.10
424,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28,96,23,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.10,0.05,0.10
425,Mattia Caldara,it ITA,DF,Milan,it Serie A,29,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58
426,Luca Caldirola,it ITA,DF,Monza,it Serie A,32,1991,29,23,2141,23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10,56,9,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.04,0.02,0.04
427,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5,61,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
428,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29,1994,32,32,2556,28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45,186,34,0.46,0.11,0.56,0.11,0.21,0.36,0.17,0.52,0.08,0.25
429,José Callejón,es ESP,"MF,FW",Granada,es La Liga,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10,35,50,0.00,0.11,0.11,0.00,0.11,0.15,0.17,0.32,0.15,0.32
430,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.60
431,Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,19,2004,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23,97,69,0.04,0.16,0.20,0.04,0.20,0.09,0.13,0.22,0.06,0.19
432,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25,1998,32,26,2020,22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37,81,129,0.31,0.13,0.45,0.27,0.40,0.22,0.14,0.35,0.18,0.32
433,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23,2000,20,14,1035,11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14,76,22,0.09,0.17,0.26,0.00,0.17,0.13,0.06,0.18,0.06,0.11
434,Francesco Camarda,it ITA,FW,Milan,it Serie A,15,2008,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
435,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.11,0.05,0.11
436,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,22,2000,37,29,2553,28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128,63,197,0.04,0.04,0.07,0.04,0.07,0.14,0.10,0.24,0.14,0.24
437,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23,2000,34,28,2372,26.4,2,3,5,2,0,0,10,0,2.2,2.2,3.9,6.0,87,71,172,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23
438,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.29,0.25,0.29
439,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22,2001,31,20,1661,18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22,41,79,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31
440,José Campaña,es ESP,MF,Las Palmas,es La Liga,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
441,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,29,1994,25,22,1953,21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35,110,18,0.09,0.09,0.18,0.00,0.09,0.10,0.07,0.17,0.03,0.09
442,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21,2002,36,18,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48,26,138,0.20,0.15,0.35,0.20,0.35,0.24,0.15,0.38,0.24,0.38
443,João Cancelo,pt POR,DF,Barcelona,es La Liga,29,1994,32,29,2503,27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106,141,193,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28
444,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,25,1998,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4,38,3,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06,0.04,0.06
445,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36,1987,34,32,2750,30.6,6,6,12,5,1,1,5,0,4.9,4.1,5.0,9.1,67,149,182,0.20,0.20,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.30
446,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,2.8,2.8,2.4,5.3,32,52,88,0.07,0.15,0.22,0.07,0.22,0.21,0.18,0.39,0.21,0.39
448,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
450,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35,1988,32,15,1455,16.2,1,1,2,1,0,0,8,0,1.0,1.0,0.6,1.6,24,80,38,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.10,0.06,0.10
451,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30,1993,6,4,285,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,11,15,16,0.00,0.00,0.00,0.00,0.00,0.22,0.23,0.44,0.22,0.44
452,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
453,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35,1987,20,15,1268,14.1,3,0,3,2,1,1,0,0,3.4,2.6,0.7,3.4,7,18,65,0.21,0.00,0.21,0.14,0.14,0.24,0.05,0.30,0.19,0.24
454,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,2.1,2.1,6.0,8.1,70,286,96,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24
455,Andrea Carboni,it ITA,DF,Monza,it Serie A,22,2001,21,16,1487,16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13,46,22,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10
456,Valentin Carboni,ar ARG,"MF,FW",Monza,it Serie A,18,2005,31,10,1169,13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52,57,75,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31
457,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.6,25,75,70,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06
458,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,25,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
460,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,1995,25,6,723,8.0,4,1,5,3,1,1,4,0,4.2,3.5,1.1,4.5,10,13,74,0.50,0.12,0.62,0.37,0.50,0.52,0.13,0.65,0.42,0.55
461,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24,1999,35,30,2814,31.3,1,2,3,1,0,0,11,0,2.7,2.7,2.8,5.5,60,160,165,0.03,0.06,0.10,0.03,0.10,0.09,0.09,0.18,0.09,0.18
462,Johnny Cardoso,us USA,MF,Betis,es La Liga,21,2001,17,15,1328,14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10,45,11,0.07,0.14,0.20,0.07,0.20,0.07,0.03,0.11,0.07,0.11
463,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,26,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,8,16,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10
464,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4,59,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
465,Carmona,es ESP,"DF,MF",Getafe,es La Liga,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.8,0.8,1.0,1.8,29,39,55,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12
466,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,27,27,2425,26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
467,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,29,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0.00,0.41,0.41,0.00,0.41,0.03,0.10,0.12,0.03,0.12
468,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13,14,31,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15
469,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,22,2000,23,18,1659,18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,32,52,89,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19
470,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
471,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30,82,168,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18
472,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,20,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25
473,William Carvalho,pt POR,MF,Betis,es La Liga,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.4,0.4,0.7,1.1,12,58,12,0.13,0.40,0.53,0.13,0.53,0.05,0.09,0.14,0.05,0.14
474,Cesare Casadei,it ITA,"FW,MF",Chelsea,eng Premier League,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
475,Marc Casado,es ESP,MF,Barcelona,es La Liga,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
476,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25,1998,20,16,1559,17.3,0,0,0,0,0,0,5,0,0.9,0.9,0.0,0.9,20,49,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
477,Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31,1992,25,24,1982,22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.20,0.16,0.20
478,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
479,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25,1997,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.10,0.27,0.18,0.27
480,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21,2001,30,25,2016,22.4,0,5,5,0,0,0,6,0,1.9,1.9,4.3,6.3,59,62,138,0.00,0.22,0.22,0.00,0.22,0.09,0.19,0.28,0.09,0.28
481,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,24,1998,14,2,417,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,15,20,37,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
482,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23,2000,32,23,1946,21.6,1,3,4,1,0,0,1,0,1.1,1.1,1.7,2.8,14,87,52,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13
483,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,1995,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.10,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12
484,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
485,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,1998,35,16,1682,18.7,4,3,7,4,0,0,2,0,7.3,7.3,1.7,8.9,15,47,132,0.21,0.16,0.37,0.21,0.37,0.39,0.09,0.48,0.39,0.48
486,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28,1995,28,28,2464,27.4,2,0,2,2,0,0,5,0,0.6,0.6,0.8,1.4,24,100,31,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05
487,Samu Castillejo,es ESP,"FW,MF",Sassuolo,it Serie A,28,1995,17,6,536,6.0,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.2,27,26,45,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.21,0.04,0.21
488,Jonny Castro,es ESP,MF,Wolves,eng Premier League,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
489,Santiago Castro,ar ARG,FW,Bologna,it Serie A,18,2004,8,2,242,2.7,1,1,2,1,0,0,1,0,1.0,1.0,0.5,1.5,1,1,15,0.37,0.37,0.74,0.37,0.74,0.35,0.20,0.55,0.35,0.55
490,Gaetano Castrovilli,it ITA,"FW,MF",Fiorentina,it Serie A,26,1997,6,5,367,4.1,1,2,3,1,0,0,0,0,0.3,0.3,0.6,0.9,14,12,25,0.25,0.49,0.74,0.25,0.74,0.08,0.15,0.23,0.08,0.23
491,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28,1994,28,15,1361,15.1,1,0,1,1,0,0,8,0,0.4,0.4,0.8,1.1,9,69,7,0.07,0.00,0.07,0.07,0.07,0.02,0.05,0.08,0.02,0.08
492,Catena,es ESP,DF,Osasuna,es La Liga,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,1.3,1.3,1.0,2.4,5,77,1,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.08,0.05,0.08
493,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26,1997,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.4,0.4,0.2,0.6,24,61,11,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.03,0.02,0.03
494,Ivan Cavaleiro,pt POR,FW,Lille,fr Ligue 1,29,1993,17,9,770,8.6,1,1,2,1,0,0,1,0,1.3,1.3,1.2,2.5,18,23,77,0.12,0.12,0.23,0.12,0.23,0.15,0.15,0.29,0.15,0.29
495,Dani Ceballos,es ESP,"MF,FW",Real Madrid,es La Liga,26,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,16,47,23,0.00,0.30,0.30,0.00,0.30,0.05,0.22,0.27,0.05,0.27
496,Emil Ceide,no NOR,"FW,MF",Sassuolo,it Serie A,21,2001,11,0,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12,3,16,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17
497,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26,1997,17,6,671,7.5,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,14,26,38,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11
498,Álex Centelles,es ESP,DF,Almería,es La Liga,25,1997,14,11,980,10.9,0,1,1,0,0,0,2,0,0.0,0.0,1.6,1.6,16,31,53,0.00,0.09,0.09,0.00,0.09,0.00,0.14,0.15,0.00,0.15
499,Fabien Centonze,fr FRA,DF,Hellas Verona,it Serie A,27,1996,10,7,676,7.5,0,1,1,0,0,0,2,0,0.0,0.0,1.0,1.1,16,14,21,0.00,0.13,0.13,0.00,0.13,0.00,0.14,0.14,0.00,0.14
500,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27,1996,3,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
501,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,25,1997,22,12,921,10.2,4,1,5,4,0,0,2,0,2.3,2.3,0.9,3.2,26,37,83,0.39,0.10,0.49,0.39,0.49,0.22,0.09,0.31,0.22,0.31
502,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,1999,8,7,675,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
503,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27,1996,12,10,545,6.1,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,3,9,23,0.17,0.00,0.17,0.17,0.17,0.19,0.04,0.23,0.19,0.23
504,Leonardo Cerri,it ITA,DF,Juventus,it Serie A,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.5,0.5,2.0,2.5,16,24,36,0.00,0.16,0.16,0.00,0.16,0.08,0.34,0.41,0.08,0.41
506,Julian Chabot,de GER,DF,Köln,de Bundesliga,25,1998,32,32,2703,30.0,0,0,0,0,0,0,9,1,1.4,1.4,0.4,1.8,17,71,8,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
